word,start
se,0.0
in,0.22
fiorito,40.023
ameno,45.923
prato,72.565
l',103.888
augellin,113.709
tra,113.889
fiori,113.969
e,117.369
fronde,117.409
si,117.869
nasconde,117.929
fa,118.709
più,118.769
grato,118.849
fa,128.43
più,128.49
grato,128.57
il,128.75
suo,129.91
cantar,130.39
fa,131.77
più,131.83
grato,132.75
il,140.991
suo,141.051
cantar,141.131
fa,141.271
più,141.491
grato,142.011
il,142.651
suo,153.792
cantar,153.872
se,154.012
in,154.852
fiorito,155.232
ameno,158.152
prato,158.292
l',158.532
augellin,158.732
tra,159.672
fiori,159.932
e,161.312
fronde,161.532
si,162.812
nasconde,163.332
fa,165.312
più,168.953
grato,198.535
fa,198.655
più,198.715
grato,198.795
il,198.915
suo,198.975
cantar,199.055
se,199.195
in,199.255
fiorito,199.315
ameno,199.475
prato,199.595
l',199.715
augellin,199.775
tra,199.955
fiori,200.035
e,200.155
fronde,200.195
si,200.335
nasconde,200.395
fa,200.575
più,200.635
grato,200.715
il,200.835
suo,200.895
cantar,201.615
fa,201.755
più,201.815
grato,201.995
il,202.115
suo,203.875
cantar,203.955
fa,205.095
più,205.155
grato,205.235
il,205.355
suo,205.815
cantar,205.896
se,206.036
così,206.096
lidia,206.196
vezzosa,207.316
spiega,208.056
ancor,225.797
notti,233.678
canore,239.458
più,243.378
graziosa,243.458
fa,243.638
ogni,243.698
core,243.798
innamorar,244.078
fa,319.284
ogni,319.344
core,321.644
innamorar,323.624
ah,324.544
più,324.604
graziosa,324.684
fa,324.864
ogni,324.924
core,385.029
ogni,406.811
core,406.911
innamorar,407.571
fa,410.531
ogni,410.591
core,417.831
innamorar,419.272
se,419.472
in,419.532
fiorito,419.592
ameno,420.872
prato,422.072
l',422.192
augellin,423.032
tra,423.592
fiori,423.672
e,423.792
fronde,423.832
si,424.752
nasconde,424.812
fa,449.274
più,449.334
grato,449.414
fa,449.534
più,449.594
grato,449.674
il,449.794
suo,449.854
cantar,449.934
fa,450.074
più,450.134
grato,450.254
il,450.374
suo,450.434
cantar,450.514
fa,450.654
più,450.714
grato,450.794
il,450.914
suo,452.174
cantar,452.254
se,452.394
in,452.454
fiorito,452.514
ameno,454.434
prato,454.554
l',454.714
augellin,454.834
tra,456.974
fiori,457.054
e,457.254
fronde,457.714
si,459.175
nasconde,459.235
fa,466.295
più,466.355
grato,466.435
fa,466.555
più,466.615
grato,466.995
il,468.295
suo,468.355
cantar,469.095
se,469.315
in,469.375
fiorito,469.435
ameno,492.237
prato,492.357
l',495.477
augellin,495.537
tra,495.717
fiori,495.797
e,495.917
fronde,495.957
si,496.097
nasconde,496.157
fa,496.337
più,496.397
grato,496.477
il,496.597
suo,496.657
cantar,496.737
fa,496.877
più,496.937
grato,497.017
il,497.137
suo,497.197
cantar,497.277
fa,497.417
più,497.477
grato,518.459
il,518.579
suo,518.639
cantar,518.719
